epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.198,0.67231,0.38527,0.94833,0.73554,0.67961,0.71987,0.5031,1.15223,0.84874,1.12673,0.000207589,0.000207589,0.000207589
2,488.628,0.69683,0.41497,0.96559,0.71007,0.66877,0.70785,0.48609,1.15871,0.89514,1.14259,0.000374746,0.000374746,0.000374746
3,722.982,0.71395,0.42758,0.97598,0.72516,0.66485,0.72252,0.49862,1.13823,0.83358,1.09539,0.000500653,0.000500653,0.000500653
4,930.934,0.71065,0.42046,0.97356,0.7544,0.67098,0.72297,0.50211,1.16321,0.83083,1.11344,0.000439375,0.000439375,0.000439375
5,1259.66,0.71018,0.4207,0.96955,0.72564,0.66608,0.71487,0.49311,1.15797,0.87136,1.12172,0.0003775,0.0003775,0.0003775
6,1474.23,0.70063,0.4175,0.96161,0.71842,0.69087,0.71957,0.49982,1.14567,0.83744,1.1109,0.000315625,0.000315625,0.000315625
7,1678.04,0.67904,0.40491,0.9602,0.7258,0.69967,0.73183,0.5055,1.13981,0.81786,1.10904,0.00025375,0.00025375,0.00025375
8,1900.21,0.67814,0.39996,0.95331,0.71456,0.72447,0.74317,0.51695,1.13273,0.78649,1.11406,0.000191875,0.000191875,0.000191875
9,2132.82,0.66191,0.3746,0.94988,0.74745,0.68034,0.73249,0.51119,1.13687,0.81228,1.11588,0.00013,0.00013,0.00013
10,2404.93,0.66571,0.37267,0.93964,0.72909,0.69641,0.72879,0.50464,1.14684,0.81435,1.11834,6.8125e-05,6.8125e-05,6.8125e-05
