epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.007,0.69135,0.51008,1.03942,0.70801,0.70029,0.72288,0.50307,1.13832,0.8643,1.10794,0.000207589,0.000207589,0.000207589
2,630.433,0.69504,0.50571,1.04152,0.72365,0.67735,0.71575,0.50176,1.1632,0.83058,1.1323,0.000395334,0.000395334,0.000395334
3,957.44,0.70483,0.51808,1.0479,0.71882,0.67944,0.72266,0.50534,1.1448,0.87541,1.10086,0.000562455,0.000562455,0.000562455
4,1296.06,0.71014,0.51886,1.05524,0.71964,0.69492,0.73122,0.50067,1.16108,0.8027,1.12444,0.000532187,0.000532187,0.000532187
5,1641.4,0.70928,0.5123,1.04637,0.72025,0.68961,0.71879,0.50176,1.14847,0.80661,1.12093,0.00050125,0.00050125,0.00050125
6,1962.65,0.71007,0.54238,1.05793,0.69248,0.73309,0.72527,0.49232,1.16471,0.82319,1.12491,0.000470312,0.000470312,0.000470312
7,2289.14,0.69745,0.51697,1.05081,0.69609,0.71306,0.73028,0.5021,1.16619,0.86159,1.12685,0.000439375,0.000439375,0.000439375
8,2630.52,0.70285,0.51539,1.05173,0.73008,0.72322,0.744,0.51369,1.15304,0.81349,1.10786,0.000408438,0.000408438,0.000408438
9,2866.76,0.6878,0.50308,1.03788,0.76564,0.70491,0.76273,0.53103,1.13625,0.75977,1.10827,0.0003775,0.0003775,0.0003775
10,3234.72,0.69436,0.50007,1.03875,0.73438,0.68625,0.73977,0.5143,1.13857,0.77887,1.10907,0.000346563,0.000346563,0.000346563
11,3571.42,0.70819,0.43057,0.97336,0.73209,0.70989,0.73349,0.51136,1.14325,0.81913,1.10822,0.000315625,0.000315625,0.000315625
12,3834.39,0.69919,0.41892,0.96771,0.72851,0.68066,0.72413,0.50454,1.14667,0.8343,1.11138,0.000284688,0.000284688,0.000284688
13,4257.94,0.68976,0.40628,0.96583,0.71492,0.70239,0.73248,0.50979,1.13661,0.81169,1.10968,0.00025375,0.00025375,0.00025375
14,4488.81,0.69112,0.40005,0.96172,0.72145,0.7003,0.73328,0.51211,1.13957,0.8185,1.1132,0.000222813,0.000222813,0.000222813
15,4717.02,0.68268,0.39531,0.96242,0.72201,0.70594,0.7243,0.50668,1.14187,0.82676,1.11233,0.000191875,0.000191875,0.000191875
16,4965.87,0.67699,0.39263,0.96231,0.69631,0.71993,0.73068,0.51244,1.1384,0.80421,1.11744,0.000160938,0.000160938,0.000160938
