epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.989,0.68574,0.51114,1.05112,0.71936,0.69818,0.72228,0.50299,1.13093,0.81941,1.10099,0.000207648,0.000207648,0.000207648
2,453.175,0.70042,0.51329,1.05806,0.68967,0.68853,0.71372,0.48809,1.16637,0.85206,1.12427,0.000381663,0.000381663,0.000381663
3,749.529,0.73989,0.44965,1.00212,0.7379,0.70126,0.73819,0.51005,1.1506,0.81132,1.11697,0.000521303,0.000521303,0.000521303
4,983.31,0.74814,0.45777,1.00539,0.71654,0.67598,0.71793,0.4851,1.16892,0.82274,1.12742,0.000470312,0.000470312,0.000470312
5,1378.5,0.7475,0.45849,0.99868,0.7073,0.71472,0.7243,0.49736,1.16217,0.81504,1.12132,0.00041875,0.00041875,0.00041875
6,1599.33,0.72689,0.43938,0.9845,0.74017,0.70096,0.75079,0.51959,1.1489,0.81529,1.11363,0.000367187,0.000367187,0.000367187
7,1866.74,0.72216,0.42417,0.98705,0.7117,0.71971,0.72356,0.50173,1.16217,0.85634,1.11896,0.000315625,0.000315625,0.000315625
8,2150.02,0.72167,0.42869,0.98317,0.71884,0.7026,0.72196,0.49613,1.13522,0.81914,1.10481,0.000264062,0.000264062,0.000264062
9,2372.08,0.70325,0.40776,0.97016,0.71448,0.72295,0.73646,0.51078,1.12937,0.79807,1.10486,0.0002125,0.0002125,0.0002125
10,2749.22,0.68868,0.38835,0.95981,0.71642,0.68931,0.71719,0.49676,1.1374,0.82744,1.1123,0.000160938,0.000160938,0.000160938
11,2960.44,0.68082,0.38604,0.95405,0.73848,0.68156,0.72987,0.50631,1.1289,0.81333,1.11048,0.000109375,0.000109375,0.000109375
12,3248.92,0.67337,0.37722,0.94462,0.73382,0.69177,0.7382,0.51249,1.12893,0.80746,1.10872,5.78125e-05,5.78125e-05,5.78125e-05
