bracing: 12 объектов
  Объект 1: x1=932, y1=314, x2=990, y2=359
  Объект 2: x1=1688, y1=313, x2=1747, y2=360
  Объект 3: x1=555, y1=314, x2=613, y2=359
  Объект 4: x1=2066, y1=314, x2=2124, y2=359
  Объект 5: x1=176, y1=313, x2=234, y2=360
  Объект 6: x1=554, y1=476, x2=612, y2=524
  Объект 7: x1=1310, y1=313, x2=1368, y2=359
  Объект 8: x1=2065, y1=476, x2=2124, y2=524
  Объект 9: x1=932, y1=476, x2=990, y2=524
  Объект 10: x1=1688, y1=476, x2=1746, y2=524
  Объект 11: x1=176, y1=475, x2=234, y2=523
  Объект 12: x1=1309, y1=475, x2=1368, y2=523

text: 12 объектов
  Объект 1: x1=1003, y1=398, x2=1112, y2=502
  Объект 2: x1=1381, y1=398, x2=1491, y2=503
  Объект 3: x1=244, y1=398, x2=360, y2=503
  Объект 4: x1=626, y1=398, x2=736, y2=502
  Объект 5: x1=1757, y1=398, x2=1869, y2=502
  Объект 6: x1=2135, y1=398, x2=2250, y2=503
  Объект 7: x1=207, y1=533, x2=244, y2=557
  Объект 8: x1=1343, y1=534, x2=1377, y2=557
  Объект 9: x1=964, y1=534, x2=1000, y2=558
  Объект 10: x1=2098, y1=534, x2=2134, y2=556
  Объект 11: x1=1718, y1=533, x2=1755, y2=557
  Объект 12: x1=586, y1=534, x2=623, y2=556

automatics: 6 объектов
  Объект 1: x1=1682, y1=378, x2=1729, y2=464
  Объект 2: x1=170, y1=378, x2=217, y2=464
  Объект 3: x1=1304, y1=378, x2=1351, y2=465
  Объект 4: x1=548, y1=378, x2=596, y2=464
  Объект 5: x1=2060, y1=378, x2=2108, y2=465
  Объект 6: x1=926, y1=378, x2=973, y2=464

