transformators: 32 объектов
  Объект 1: x1=498, y1=186, x2=514, y2=200
  Объект 2: x1=517, y1=186, x2=533, y2=200
  Объект 3: x1=665, y1=186, x2=681, y2=200
  Объект 4: x1=535, y1=186, x2=551, y2=200
  Объект 5: x1=241, y1=237, x2=257, y2=251
  Объект 6: x1=222, y1=205, x2=238, y2=218
  Объект 7: x1=222, y1=237, x2=238, y2=251
  Объект 8: x1=241, y1=205, x2=257, y2=219
  Объект 9: x1=204, y1=205, x2=220, y2=218
  Объект 10: x1=89, y1=105, x2=105, y2=119
  Объект 11: x1=647, y1=186, x2=663, y2=200
  Объект 12: x1=58, y1=106, x2=74, y2=119
  Объект 13: x1=74, y1=106, x2=89, y2=119
  Объект 14: x1=684, y1=186, x2=700, y2=200
  Объект 15: x1=368, y1=233, x2=384, y2=246
  Объект 16: x1=813, y1=205, x2=829, y2=219
  Объект 17: x1=368, y1=202, x2=383, y2=215
  Объект 18: x1=350, y1=202, x2=365, y2=215
  Объект 19: x1=795, y1=205, x2=811, y2=218
  Объект 20: x1=349, y1=233, x2=365, y2=246
  Объект 21: x1=516, y1=223, x2=533, y2=237
  Объект 22: x1=386, y1=233, x2=402, y2=247
  Объект 23: x1=814, y1=236, x2=829, y2=249
  Объект 24: x1=204, y1=237, x2=220, y2=251
  Объект 25: x1=386, y1=202, x2=402, y2=215
  Объект 26: x1=832, y1=205, x2=848, y2=219
  Объект 27: x1=665, y1=223, x2=681, y2=237
  Объект 28: x1=88, y1=137, x2=105, y2=150
  Объект 29: x1=832, y1=236, x2=848, y2=249
  Объект 30: x1=58, y1=137, x2=73, y2=150
  Объект 31: x1=795, y1=236, x2=811, y2=249
  Объект 32: x1=73, y1=137, x2=88, y2=150

WH_Counter: 5 объектов
  Объект 1: x1=701, y1=92, x2=735, y2=138
  Объект 2: x1=553, y1=93, x2=586, y2=138
  Объект 3: x1=259, y1=93, x2=292, y2=138
  Объект 4: x1=403, y1=92, x2=438, y2=138
  Объект 5: x1=849, y1=92, x2=884, y2=138

bracing: 12 объектов
  Объект 1: x1=74, y1=250, x2=86, y2=264
  Объект 2: x1=74, y1=169, x2=87, y2=201
  Объект 3: x1=814, y1=172, x2=826, y2=186
  Объект 4: x1=223, y1=172, x2=235, y2=186
  Объект 5: x1=223, y1=91, x2=235, y2=123
  Объект 6: x1=368, y1=169, x2=380, y2=183
