text: 73 объектов
  Объект 1: x1=1024, y1=177, x2=1046, y2=187
  Объект 2: x1=252, y1=205, x2=274, y2=214
  Объект 3: x1=703, y1=178, x2=723, y2=187
  Объект 4: x1=886, y1=177, x2=908, y2=186
  Объект 5: x1=725, y1=177, x2=747, y2=186
  Объект 6: x1=1211, y1=177, x2=1234, y2=186
  Объект 7: x1=862, y1=178, x2=884, y2=187
  Объект 8: x1=724, y1=211, x2=745, y2=220
  Объект 9: x1=1187, y1=177, x2=1209, y2=187
  Объект 10: x1=1048, y1=178, x2=1071, y2=187
  Объект 11: x1=1048, y1=211, x2=1070, y2=219
  Объект 12: x1=1211, y1=211, x2=1233, y2=219
  Объект 13: x1=89, y1=205, x2=111, y2=214
  Объект 14: x1=886, y1=211, x2=908, y2=219
  Объект 15: x1=910, y1=177, x2=932, y2=187
  Объект 16: x1=413, y1=205, x2=435, y2=214
  Объект 17: x1=731, y1=96, x2=781, y2=140
  Объект 18: x1=566, y1=140, x2=616, y2=185
  Объект 19: x1=1071, y1=177, x2=1094, y2=187
  Объект 20: x1=258, y1=97, x2=309, y2=140
  Объект 21: x1=64, y1=174, x2=87, y2=184
  Объект 22: x1=420, y1=96, x2=469, y2=141
  Объект 23: x1=747, y1=177, x2=769, y2=187
  Объект 24: x1=1217, y1=96, x2=1268, y2=141
  Объект 25: x1=96, y1=97, x2=146, y2=140
  Объект 26: x1=1056, y1=96, x2=1106, y2=141
  Объект 27: x1=893, y1=97, x2=942, y2=140
  Объект 28: x1=1233, y1=177, x2=1256, y2=187
  Объект 29: x1=389, y1=174, x2=411, y2=184
  Объект 30: x1=226, y1=174, x2=249, y2=184
  Объект 31: x1=414, y1=174, x2=435, y2=184
  Объект 32: x1=252, y1=174, x2=274, y2=184
  Объект 33: x1=89, y1=174, x2=111, y2=184
  Объект 34: x1=113, y1=174, x2=136, y2=184
  Объект 35: x1=928, y1=254, x2=957, y2=277
  Объект 36: x1=275, y1=174, x2=298, y2=184
  Объект 37: x1=437, y1=174, x2=460, y2=184
