WH_Counter: 5 объектов
  Объект 1: x1=147, y1=93, x2=188, y2=149
  Объект 2: x1=329, y1=93, x2=369, y2=149
  Объект 3: x1=869, y1=93, x2=910, y2=149
  Объект 4: x1=692, y1=93, x2=732, y2=149
  Объект 5: x1=510, y1=93, x2=550, y2=149

transformators: 9 объектов
  Объект 1: x1=439, y1=212, x2=458, y2=228
  Объект 2: x1=288, y1=249, x2=307, y2=265
  Объект 3: x1=651, y1=200, x2=670, y2=216
  Объект 4: x1=106, y1=248, x2=126, y2=265
  Объект 5: x1=620, y1=212, x2=640, y2=228
  Объект 6: x1=469, y1=200, x2=489, y2=216
  Объект 7: x1=828, y1=53, x2=848, y2=69
  Объект 8: x1=654, y1=234, x2=663, y2=242
  Объект 9: x1=473, y1=234, x2=482, y2=242

bracing: 11 объектов
  Объект 1: x1=829, y1=213, x2=844, y2=230
  Объект 2: x1=829, y1=114, x2=844, y2=154
  Объект 3: x1=289, y1=114, x2=304, y2=154
  Объект 4: x1=470, y1=168, x2=485, y2=185
  Объект 5: x1=651, y1=168, x2=667, y2=185
  Объект 6: x1=650, y1=71, x2=669, y2=109
  Объект 7: x1=469, y1=72, x2=486, y2=110
  Объект 8: x1=107, y1=115, x2=123, y2=154
  Объект 9: x1=106, y1=213, x2=123, y2=231
  Объект 10: x1=288, y1=213, x2=304, y2=231
  Объект 11: x1=465, y1=293, x2=491, y2=314

text: 17 объектов
  Объект 1: x1=845, y1=167, x2=900, y2=214
  Объект 2: x1=601, y1=185, x2=613, y2=224
  Объект 3: x1=487, y1=123, x2=538, y2=169
  Объект 4: x1=668, y1=124, x2=720, y2=169
  Объект 5: x1=419, y1=185, x2=431, y2=224
  Объект 6: x1=123, y1=167, x2=178, y2=214
  Объект 7: x1=305, y1=167, x2=360, y2=214
  Объект 8: x1=85, y1=151, x2=99, y2=261
  Объект 9: x1=787, y1=112, x2=810, y2=183
  Объект 10: x1=630, y1=94, x2=643, y2=213
  Объект 11: x1=449, y1=98, x2=461, y2=212
  Объект 12: x1=264, y1=159, x2=279, y2=262
  Объект 13: x1=69, y1=149, x2=99, y2=260
  Объект 14: x1=268, y1=159, x2=280, y2=261
  Объект 15: x1=770, y1=80, x2=784, y2=189
  Объект 16: x1=631, y1=101, x2=642, y2=194
  Объект 17: x1=253, y1=161, x2=279, y2=262

automatics: 5 объектов
  Объект 1: x1=819, y1=165, x2=841, y2=205
  Объект 2: x1=642, y1=119, x2=664, y2=160
  Объект 3: x1=280, y1=164, x2=301, y2=206
  Объект 4: x1=461, y1=119, x2=482, y2=160
  Объект 5: x1=98, y1=165, x2=120, y2=206

