transformators: 7 объектов
  Объект 1: x1=865, y1=154, x2=878, y2=166
  Объект 2: x1=761, y1=154, x2=774, y2=166
  Объект 3: x1=386, y1=266, x2=399, y2=277
  Объект 4: x1=636, y1=266, x2=649, y2=277
  Объект 5: x1=740, y1=154, x2=753, y2=166
  Объект 6: x1=511, y1=265, x2=524, y2=276
  Объект 7: x1=886, y1=154, x2=899, y2=166

WH_Counter: 5 объектов
  Объект 1: x1=414, y1=159, x2=442, y2=198
  Объект 2: x1=788, y1=159, x2=817, y2=198
  Объект 3: x1=539, y1=159, x2=567, y2=198
  Объект 4: x1=664, y1=159, x2=692, y2=198
  Объект 5: x1=913, y1=159, x2=942, y2=198

bracing: 15 объектов
  Объект 1: x1=636, y1=241, x2=647, y2=253
  Объект 2: x1=386, y1=241, x2=397, y2=253
  Объект 3: x1=886, y1=241, x2=897, y2=253
  Объект 4: x1=761, y1=241, x2=772, y2=254
  Объект 5: x1=511, y1=241, x2=522, y2=254
  Объект 6: x1=511, y1=173, x2=522, y2=201
  Объект 7: x1=636, y1=172, x2=646, y2=201
  Объект 8: x1=886, y1=172, x2=896, y2=201
  Объект 9: x1=761, y1=173, x2=771, y2=201
  Объект 10: x1=386, y1=172, x2=397, y2=201
  Объект 11: x1=508, y1=296, x2=526, y2=310
  Объект 12: x1=882, y1=296, x2=900, y2=310
  Объект 13: x1=383, y1=296, x2=401, y2=310
  Объект 14: x1=633, y1=296, x2=650, y2=310
  Объект 15: x1=757, y1=295, x2=776, y2=310

text: 10 объектов
  Объект 1: x1=523, y1=210, x2=561, y2=243
  Объект 2: x1=898, y1=209, x2=935, y2=243
  Объект 3: x1=399, y1=210, x2=437, y2=243
  Объект 4: x1=773, y1=210, x2=810, y2=242
  Объект 5: x1=648, y1=210, x2=686, y2=243
  Объект 6: x1=747, y1=147, x2=766, y2=154
  Объект 7: x1=745, y1=147, x2=763, y2=158
  Объект 8: x1=870, y1=147, x2=890, y2=154
  Объект 9: x1=390, y1=259, x2=407, y2=266
  Объект 10: x1=640, y1=259, x2=656, y2=266

automatics: 5 объектов
  Объект 1: x1=879, y1=208, x2=895, y2=236
  Объект 2: x1=630, y1=208, x2=645, y2=236
  Объект 3: x1=505, y1=208, x2=520, y2=236
  Объект 4: x1=380, y1=208, x2=395, y2=236
  Объект 5: x1=755, y1=208, x2=770, y2=236

