WH_Counter: 5 объектов
  Объект 1: x1=406, y1=153, x2=434, y2=192
  Объект 2: x1=905, y1=153, x2=934, y2=192
  Объект 3: x1=655, y1=153, x2=684, y2=192
  Объект 4: x1=531, y1=154, x2=559, y2=192
  Объект 5: x1=778, y1=153, x2=806, y2=192

bracing: 14 объектов
  Объект 1: x1=878, y1=235, x2=889, y2=247
  Объект 2: x1=503, y1=235, x2=514, y2=248
  Объект 3: x1=378, y1=235, x2=389, y2=248
  Объект 4: x1=750, y1=235, x2=761, y2=248
  Объект 5: x1=628, y1=235, x2=639, y2=247
  Объект 6: x1=503, y1=167, x2=514, y2=195
  Объект 7: x1=878, y1=167, x2=888, y2=195
  Объект 8: x1=751, y1=167, x2=761, y2=195
  Объект 9: x1=379, y1=167, x2=389, y2=194
  Объект 10: x1=628, y1=167, x2=638, y2=194
  Объект 11: x1=625, y1=290, x2=643, y2=305
  Объект 12: x1=375, y1=290, x2=393, y2=305
  Объект 13: x1=500, y1=291, x2=518, y2=305
  Объект 14: x1=874, y1=291, x2=892, y2=305

transformators: 4 объектов
  Объект 1: x1=378, y1=260, x2=391, y2=272
  Объект 2: x1=877, y1=260, x2=891, y2=272
  Объект 3: x1=503, y1=260, x2=516, y2=272
  Объект 4: x1=628, y1=260, x2=641, y2=272

text: 9 объектов
  Объект 1: x1=890, y1=204, x2=927, y2=237
  Объект 2: x1=641, y1=203, x2=676, y2=237
  Объект 3: x1=762, y1=203, x2=800, y2=237
  Объект 4: x1=390, y1=204, x2=428, y2=236
  Объект 5: x1=515, y1=204, x2=552, y2=237
  Объект 6: x1=880, y1=255, x2=896, y2=262
  Объект 7: x1=631, y1=253, x2=647, y2=260
  Объект 8: x1=380, y1=255, x2=396, y2=263
  Объект 9: x1=505, y1=254, x2=521, y2=262

automatics: 5 объектов
  Объект 1: x1=372, y1=202, x2=388, y2=230
  Объект 2: x1=497, y1=202, x2=512, y2=230
  Объект 3: x1=871, y1=202, x2=887, y2=230
  Объект 4: x1=622, y1=202, x2=637, y2=230
  Объект 5: x1=744, y1=202, x2=759, y2=230

