transformators: 12 объектов
  Объект 1: x1=1250, y1=492, x2=1289, y2=524
  Объект 2: x1=554, y1=479, x2=593, y2=510
  Объект 3: x1=1304, y1=419, x2=1342, y2=450
  Объект 4: x1=245, y1=411, x2=283, y2=442
  Объект 5: x1=192, y1=479, x2=230, y2=510
  Объект 6: x1=1206, y1=419, x2=1243, y2=449
  Объект 7: x1=608, y1=411, x2=646, y2=442
  Объект 8: x1=501, y1=411, x2=540, y2=442
  Объект 9: x1=1251, y1=419, x2=1289, y2=450
  Объект 10: x1=192, y1=411, x2=230, y2=442
  Объект 11: x1=138, y1=411, x2=177, y2=442
  Объект 12: x1=555, y1=411, x2=593, y2=442

WH_Counter: 4 объектов
  Объект 1: x1=289, y1=138, x2=369, y2=247
  Объект 2: x1=651, y1=138, x2=733, y2=247
  Объект 3: x1=1348, y1=137, x2=1426, y2=247
  Объект 4: x1=0, y1=156, x2=10, y2=253

bracing: 2 объектов
  Объект 1: x1=881, y1=406, x2=912, y2=439
  Объект 2: x1=881, y1=206, x2=912, y2=288

text: 20 объектов
  Объект 1: x1=914, y1=314, x2=1026, y2=409
  Объект 2: x1=587, y1=217, x2=697, y2=309
  Объект 3: x1=1286, y1=217, x2=1392, y2=311
  Объект 4: x1=225, y1=218, x2=335, y2=308
  Объект 5: x1=573, y1=459, x2=623, y2=477
  Объект 6: x1=210, y1=460, x2=260, y2=478
  Объект 7: x1=1267, y1=471, x2=1314, y2=492
  Объект 8: x1=520, y1=391, x2=570, y2=410
  Объект 9: x1=573, y1=391, x2=624, y2=410
  Объект 10: x1=1321, y1=398, x2=1366, y2=417
  Объект 11: x1=625, y1=391, x2=677, y2=410
  Объект 12: x1=156, y1=391, x2=207, y2=410
  Объект 13: x1=572, y1=314, x2=609, y2=337
  Объект 14: x1=1268, y1=315, x2=1305, y2=337
  Объект 15: x1=1267, y1=398, x2=1315, y2=417
  Объект 16: x1=209, y1=391, x2=261, y2=410
  Объект 17: x1=262, y1=391, x2=313, y2=410
  Объект 18: x1=209, y1=314, x2=246, y2=337
  Объект 19: x1=1222, y1=399, x2=1264, y2=417
  Объект 20: x1=210, y1=153, x2=241, y2=173

automatics: 4 объектов
  Объект 1: x1=174, y1=213, x2=217, y2=292
  Объект 2: x1=862, y1=310, x2=905, y2=390
  Объект 3: x1=539, y1=211, x2=580, y2=294
  Объект 4: x1=1234, y1=212, x2=1276, y2=293

