transformators: 27 объектов
  Объект 1: x1=1128, y1=239, x2=1150, y2=258
  Объект 2: x1=1098, y1=239, x2=1120, y2=258
  Объект 3: x1=64, y1=236, x2=86, y2=253
  Объект 4: x1=1068, y1=239, x2=1090, y2=258
  Объект 5: x1=1332, y1=240, x2=1354, y2=258
  Объект 6: x1=1303, y1=240, x2=1324, y2=258
  Объект 7: x1=894, y1=239, x2=916, y2=258
  Объект 8: x1=94, y1=235, x2=116, y2=254
  Объект 9: x1=269, y1=235, x2=291, y2=254
  Объект 10: x1=94, y1=274, x2=116, y2=292
  Объект 11: x1=299, y1=235, x2=321, y2=254
  Объект 12: x1=503, y1=235, x2=524, y2=254
  Объект 13: x1=1273, y1=239, x2=1294, y2=257
  Объект 14: x1=123, y1=236, x2=146, y2=254
  Объект 15: x1=473, y1=235, x2=494, y2=254
  Объект 16: x1=869, y1=240, x2=890, y2=258
  Объект 17: x1=894, y1=281, x2=916, y2=299
  Объект 18: x1=328, y1=235, x2=351, y2=254
  Объект 19: x1=1098, y1=281, x2=1120, y2=299
  Объект 20: x1=924, y1=240, x2=945, y2=258
  Объект 21: x1=503, y1=273, x2=525, y2=292
  Объект 22: x1=533, y1=235, x2=554, y2=254
  Объект 23: x1=298, y1=274, x2=321, y2=292
  Объект 24: x1=1302, y1=281, x2=1324, y2=299
  Объект 25: x1=300, y1=272, x2=321, y2=284
  Объект 26: x1=124, y1=231, x2=149, y2=255
  Объект 27: x1=94, y1=233, x2=119, y2=255

WH_Counter: 6 объектов
  Объект 1: x1=149, y1=81, x2=194, y2=145
  Объект 2: x1=1153, y1=81, x2=1198, y2=145
  Объект 3: x1=556, y1=82, x2=603, y2=144
  Объект 4: x1=1356, y1=81, x2=1403, y2=145
  Объект 5: x1=949, y1=81, x2=994, y2=145
  Объект 6: x1=353, y1=81, x2=399, y2=145

text: 51 объектов
  Объект 1: x1=1312, y1=228, x2=1340, y2=239
  Объект 2: x1=1109, y1=228, x2=1136, y2=239
  Объект 3: x1=1282, y1=228, x2=1309, y2=239
  Объект 4: x1=1078, y1=228, x2=1106, y2=239
  Объект 5: x1=1110, y1=270, x2=1136, y2=280
  Объект 6: x1=878, y1=229, x2=902, y2=239
  Объект 7: x1=1313, y1=270, x2=1340, y2=280
  Объект 8: x1=905, y1=229, x2=932, y2=239
  Объект 9: x1=906, y1=270, x2=930, y2=280
  Объект 10: x1=934, y1=229, x2=960, y2=239
  Объект 11: x1=1118, y1=129, x2=1177, y2=180
  Объект 12: x1=705, y1=180, x2=769, y2=235
  Объект 13: x1=115, y1=128, x2=174, y2=180
  Объект 14: x1=1139, y1=228, x2=1165, y2=239
  Объект 15: x1=914, y1=128, x2=973, y2=180
  Объект 16: x1=1322, y1=127, x2=1380, y2=180
  Объект 17: x1=522, y1=129, x2=581, y2=180
  Объект 18: x1=308, y1=262, x2=338, y2=273
  Объект 19: x1=318, y1=129, x2=378, y2=180
  Объект 20: x1=75, y1=223, x2=102, y2=234
  Объект 21: x1=1342, y1=228, x2=1369, y2=239
  Объект 22: x1=512, y1=262, x2=541, y2=273
  Объект 23: x1=105, y1=262, x2=133, y2=273
  Объект 24: x1=278, y1=223, x2=307, y2=234
  Объект 25: x1=482, y1=223, x2=510, y2=234
  Объект 26: x1=1109, y1=182, x2=1129, y2=195
  Объект 27: x1=339, y1=223, x2=368, y2=234
  Объект 28: x1=309, y1=223, x2=337, y2=234
  Объект 29: x1=543, y1=223, x2=572, y2=234
  Объект 30: x1=513, y1=182, x2=533, y2=195
  Объект 31: x1=105, y1=223, x2=133, y2=234
  Объект 32: x1=1313, y1=181, x2=1332, y2=195
  Объект 33: x1=310, y1=182, x2=329, y2=195
  Объект 34: x1=135, y1=223, x2=164, y2=235
  Объект 35: x1=513, y1=223, x2=541, y2=234
  Объект 36: x1=906, y1=182, x2=925, y2=195
  Объект 37: x1=105, y1=181, x2=124, y2=195
  Объект 38: x1=1365, y1=323, x2=1403, y2=349
  Объект 39: x1=515, y1=89, x2=531, y2=101
  Объект 40: x1=531, y1=223, x2=571, y2=234
  Объект 41: x1=1101, y1=274, x2=1128, y2=288
  Объект 42: x1=906, y1=226, x2=941, y2=239
  Объект 43: x1=906, y1=89, x2=922, y2=101
  Объект 44: x1=877, y1=226, x2=904, y2=239
  Объект 45: x1=95, y1=269, x2=120, y2=282
  Объект 46: x1=1087, y1=268, x2=1108, y2=279
  Объект 47: x1=1296, y1=269, x2=1315, y2=279
  Объект 48: x1=956, y1=323, x2=992, y2=350
  Объект 49: x1=900, y1=272, x2=929, y2=285
  Объект 50: x1=909, y1=229, x2=943, y2=239
  Объект 51: x1=564, y1=323, x2=603, y2=351

bracing: 4 объектов
  Объект 1: x1=686, y1=120, x2=703, y2=166
  Объект 2: x1=686, y1=233, x2=703, y2=253
  Объект 3: x1=1101, y1=104, x2=1114, y2=121
  Объект 4: x1=506, y1=103, x2=518, y2=118

automatics: 8 объектов
  Объект 1: x1=493, y1=123, x2=518, y2=169
  Объект 2: x1=884, y1=123, x2=909, y2=169
  Объект 3: x1=289, y1=123, x2=313, y2=168
  Объект 4: x1=675, y1=178, x2=700, y2=224
  Объект 5: x1=1292, y1=123, x2=1318, y2=168
  Объект 6: x1=1088, y1=123, x2=1113, y2=169
  Объект 7: x1=84, y1=123, x2=109, y2=169
  Объект 8: x1=649, y1=191, x2=671, y2=214

