transformators: 18 объектов
  Объект 1: x1=103, y1=95, x2=124, y2=113
  Объект 2: x1=533, y1=270, x2=555, y2=288
  Объект 3: x1=333, y1=277, x2=355, y2=294
  Объект 4: x1=125, y1=138, x2=146, y2=156
  Объект 5: x1=508, y1=270, x2=529, y2=288
  Объект 6: x1=333, y1=232, x2=355, y2=250
  Объект 7: x1=282, y1=277, x2=304, y2=294
  Объект 8: x1=82, y1=95, x2=103, y2=113
  Объект 9: x1=104, y1=138, x2=124, y2=156
  Объект 10: x1=308, y1=277, x2=329, y2=294
  Объект 11: x1=482, y1=270, x2=504, y2=288
  Объект 12: x1=125, y1=96, x2=146, y2=114
  Объект 13: x1=81, y1=138, x2=103, y2=155
  Объект 14: x1=308, y1=232, x2=329, y2=250
  Объект 15: x1=507, y1=228, x2=529, y2=245
  Объект 16: x1=282, y1=232, x2=304, y2=250
  Объект 17: x1=533, y1=228, x2=555, y2=245
  Объект 18: x1=482, y1=228, x2=503, y2=245

WH_Counter: 2 объектов
  Объект 1: x1=357, y1=78, x2=405, y2=141
  Объект 2: x1=557, y1=78, x2=604, y2=141

text: 7 объектов
  Объект 1: x1=327, y1=166, x2=386, y2=217
  Объект 2: x1=527, y1=162, x2=586, y2=214
  Объект 3: x1=123, y1=273, x2=185, y2=323
  Объект 4: x1=217, y1=198, x2=245, y2=225
  Объект 5: x1=418, y1=133, x2=445, y2=161
  Объект 6: x1=217, y1=228, x2=245, y2=254
  Объект 7: x1=249, y1=246, x2=267, y2=255

bracing: 7 объектов
  Объект 1: x1=308, y1=187, x2=325, y2=205
  Объект 2: x1=508, y1=183, x2=525, y2=201
  Объект 3: x1=104, y1=293, x2=121, y2=312
  Объект 4: x1=309, y1=76, x2=325, y2=119
  Объект 5: x1=508, y1=75, x2=525, y2=115
  Объект 6: x1=104, y1=180, x2=121, y2=227
  Объект 7: x1=309, y1=91, x2=325, y2=119

automatics: 3 объектов
  Объект 1: x1=298, y1=132, x2=340, y2=179
  Объект 2: x1=498, y1=128, x2=539, y2=175
  Объект 3: x1=94, y1=238, x2=135, y2=285

