bracing: 12 объектов
  Объект 1: x1=1008, y1=169, x2=1036, y2=192
  Объект 2: x1=645, y1=248, x2=673, y2=270
  Объект 3: x1=464, y1=170, x2=491, y2=192
  Объект 4: x1=101, y1=169, x2=128, y2=191
  Объект 5: x1=282, y1=247, x2=309, y2=270
  Объект 6: x1=1008, y1=248, x2=1035, y2=270
  Объект 7: x1=463, y1=248, x2=491, y2=270
  Объект 8: x1=101, y1=248, x2=128, y2=270
  Объект 9: x1=645, y1=169, x2=673, y2=192
  Объект 10: x1=282, y1=169, x2=310, y2=192
  Объект 11: x1=826, y1=169, x2=854, y2=192
  Объект 12: x1=826, y1=247, x2=854, y2=270

automatics: 6 объектов
  Объект 1: x1=461, y1=201, x2=483, y2=242
  Объект 2: x1=1005, y1=201, x2=1027, y2=242
  Объект 3: x1=98, y1=200, x2=121, y2=242
  Объект 4: x1=279, y1=200, x2=302, y2=242
  Объект 5: x1=642, y1=200, x2=665, y2=242
  Объект 6: x1=824, y1=201, x2=846, y2=242

text: 12 объектов
  Объект 1: x1=497, y1=210, x2=551, y2=262
  Объект 2: x1=1042, y1=210, x2=1095, y2=261
  Объект 3: x1=315, y1=210, x2=369, y2=261
  Объект 4: x1=859, y1=210, x2=913, y2=261
  Объект 5: x1=678, y1=210, x2=733, y2=262
  Объект 6: x1=134, y1=210, x2=188, y2=261
  Объект 7: x1=1022, y1=275, x2=1041, y2=287
  Объект 8: x1=841, y1=275, x2=860, y2=287
  Объект 9: x1=116, y1=275, x2=134, y2=287
  Объект 10: x1=479, y1=275, x2=497, y2=287
  Объект 11: x1=659, y1=275, x2=677, y2=287
  Объект 12: x1=296, y1=275, x2=315, y2=287

