WH_Counter: 6 объектов
  Объект 1: x1=781, y1=155, x2=810, y2=194
  Объект 2: x1=906, y1=155, x2=935, y2=194
  Объект 3: x1=532, y1=155, x2=560, y2=193
  Объект 4: x1=657, y1=155, x2=685, y2=194
  Объект 5: x1=407, y1=154, x2=435, y2=194
  Объект 6: x1=1041, y1=715, x2=1077, y2=759

transformators: 5 объектов
  Объект 1: x1=504, y1=259, x2=517, y2=270
  Объект 2: x1=754, y1=259, x2=767, y2=271
  Объект 3: x1=379, y1=259, x2=393, y2=271
  Объект 4: x1=629, y1=260, x2=642, y2=271
  Объект 5: x1=879, y1=260, x2=892, y2=271

bracing: 15 объектов
  Объект 1: x1=754, y1=237, x2=764, y2=249
  Объект 2: x1=504, y1=237, x2=515, y2=249
  Объект 3: x1=380, y1=237, x2=390, y2=249
  Объект 4: x1=629, y1=237, x2=640, y2=249
  Объект 5: x1=879, y1=237, x2=889, y2=249
  Объект 6: x1=380, y1=167, x2=390, y2=196
  Объект 7: x1=879, y1=168, x2=889, y2=196
  Объект 8: x1=629, y1=168, x2=640, y2=196
  Объект 9: x1=754, y1=168, x2=764, y2=197
  Объект 10: x1=505, y1=167, x2=515, y2=197
  Объект 11: x1=501, y1=292, x2=519, y2=306
  Объект 12: x1=626, y1=292, x2=643, y2=306
  Объект 13: x1=750, y1=292, x2=768, y2=306
  Объект 14: x1=875, y1=292, x2=893, y2=306
  Объект 15: x1=376, y1=292, x2=394, y2=306

text: 10 объектов
  Объект 1: x1=891, y1=205, x2=928, y2=239
  Объект 2: x1=391, y1=205, x2=428, y2=238
  Объект 3: x1=766, y1=205, x2=803, y2=238
  Объект 4: x1=516, y1=206, x2=553, y2=238
  Объект 5: x1=641, y1=205, x2=679, y2=238
  Объект 6: x1=755, y1=256, x2=770, y2=266
  Объект 7: x1=630, y1=254, x2=645, y2=261
  Объект 8: x1=880, y1=254, x2=896, y2=261
  Объект 9: x1=380, y1=254, x2=395, y2=263
  Объект 10: x1=505, y1=256, x2=520, y2=267

automatics: 5 объектов
  Объект 1: x1=748, y1=203, x2=763, y2=231
  Объект 2: x1=499, y1=203, x2=513, y2=232
  Объект 3: x1=873, y1=204, x2=888, y2=232
  Объект 4: x1=623, y1=204, x2=638, y2=232
  Объект 5: x1=374, y1=204, x2=388, y2=232

