transformators: 58 объектов
  Объект 1: x1=1458, y1=158, x2=1471, y2=170
  Объект 2: x1=1320, y1=158, x2=1334, y2=170
  Объект 3: x1=1025, y1=159, x2=1040, y2=170
  Объект 4: x1=190, y1=155, x2=205, y2=168
  Объект 5: x1=1162, y1=158, x2=1177, y2=170
  Объект 6: x1=887, y1=159, x2=902, y2=170
  Объект 7: x1=53, y1=155, x2=68, y2=167
  Объект 8: x1=1045, y1=158, x2=1059, y2=170
  Объект 9: x1=73, y1=182, x2=87, y2=193
  Объект 10: x1=750, y1=159, x2=764, y2=170
  Объект 11: x1=1142, y1=158, x2=1158, y2=170
  Объект 12: x1=729, y1=158, x2=744, y2=170
  Объект 13: x1=769, y1=159, x2=784, y2=170
  Объект 14: x1=328, y1=155, x2=343, y2=168
  Объект 15: x1=613, y1=159, x2=627, y2=170
  Объект 16: x1=866, y1=159, x2=882, y2=170
  Объект 17: x1=908, y1=158, x2=922, y2=170
  Объект 18: x1=1183, y1=158, x2=1197, y2=170
  Объект 19: x1=1299, y1=158, x2=1315, y2=170
  Объект 20: x1=93, y1=156, x2=107, y2=167
  Объект 21: x1=368, y1=155, x2=383, y2=167
  Объект 22: x1=1006, y1=159, x2=1021, y2=170
  Объект 23: x1=211, y1=182, x2=225, y2=193
  Объект 24: x1=231, y1=155, x2=245, y2=168
  Объект 25: x1=1281, y1=159, x2=1296, y2=171
  Объект 26: x1=1438, y1=158, x2=1453, y2=170
  Объект 27: x1=631, y1=159, x2=647, y2=170
  Объект 28: x1=348, y1=182, x2=362, y2=193
  Объект 29: x1=1439, y1=185, x2=1453, y2=198
  Объект 30: x1=594, y1=158, x2=610, y2=170
  Объект 31: x1=211, y1=155, x2=225, y2=168
  Объект 32: x1=348, y1=154, x2=363, y2=167
  Объект 33: x1=1163, y1=185, x2=1178, y2=198
  Объект 34: x1=1301, y1=185, x2=1316, y2=198
  Объект 35: x1=73, y1=155, x2=88, y2=167
  Объект 36: x1=613, y1=185, x2=627, y2=198
  Объект 37: x1=1025, y1=185, x2=1040, y2=198
  Объект 38: x1=750, y1=185, x2=764, y2=198
  Объект 39: x1=887, y1=185, x2=902, y2=198
  Объект 40: x1=1419, y1=159, x2=1434, y2=171
  Объект 41: x1=76, y1=155, x2=90, y2=168
  Объект 42: x1=613, y1=157, x2=624, y2=169
  Объект 43: x1=1027, y1=157, x2=1040, y2=169
  Объект 44: x1=1320, y1=157, x2=1338, y2=169
  Объект 45: x1=1046, y1=157, x2=1062, y2=169
  Объект 46: x1=1303, y1=157, x2=1315, y2=169
  Объект 47: x1=753, y1=157, x2=767, y2=169
  Объект 48: x1=1456, y1=157, x2=1475, y2=169
  Объект 49: x1=1436, y1=158, x2=1448, y2=171
  Объект 50: x1=1447, y1=157, x2=1468, y2=170
  Объект 51: x1=1177, y1=157, x2=1196, y2=169
  Объект 52: x1=1009, y1=157, x2=1030, y2=171
  Объект 53: x1=1283, y1=157, x2=1298, y2=170
  Объект 54: x1=733, y1=157, x2=756, y2=171
  Объект 55: x1=633, y1=214, x2=654, y2=232
  Объект 56: x1=1182, y1=157, x2=1201, y2=169
  Объект 57: x1=91, y1=153, x2=106, y2=166
  Объект 58: x1=348, y1=179, x2=364, y2=195

WH_Counter: 12 объектов
  Объект 1: x1=649, y1=53, x2=681, y2=94
  Объект 2: x1=247, y1=52, x2=279, y2=94
  Объект 3: x1=786, y1=53, x2=818, y2=94
  Объект 4: x1=110, y1=53, x2=141, y2=94
  Объект 5: x1=1061, y1=53, x2=1093, y2=94
  Объект 6: x1=923, y1=53, x2=955, y2=94
  Объект 7: x1=1337, y1=53, x2=1368, y2=94
  Объект 8: x1=385, y1=53, x2=417, y2=94
  Объект 9: x1=1199, y1=53, x2=1231, y2=95
  Объект 10: x1=1474, y1=53, x2=1507, y2=95
  Объект 11: x1=0, y1=52, x2=10, y2=96
  Объект 12: x1=0, y1=19, x2=12, y2=72

text: 129 объектов
  Объект 1: x1=1451, y1=78, x2=1491, y2=116
  Объект 2: x1=86, y1=82, x2=126, y2=120
  Объект 3: x1=362, y1=81, x2=402, y2=120
  Объект 4: x1=763, y1=81, x2=803, y2=119
  Объект 5: x1=485, y1=118, x2=527, y2=156
  Объект 6: x1=224, y1=81, x2=264, y2=120
  Объект 7: x1=625, y1=81, x2=666, y2=120
  Объект 8: x1=901, y1=81, x2=941, y2=120
  Объект 9: x1=1313, y1=78, x2=1353, y2=115
  Объект 10: x1=1176, y1=81, x2=1216, y2=120
  Объект 11: x1=355, y1=146, x2=373, y2=155
  Объект 12: x1=1039, y1=81, x2=1078, y2=119
  Объект 13: x1=57, y1=146, x2=79, y2=155
  Объект 14: x1=758, y1=149, x2=777, y2=158
  Объект 15: x1=895, y1=149, x2=915, y2=158
  Объект 16: x1=217, y1=146, x2=236, y2=155
  Объект 17: x1=1286, y1=149, x2=1307, y2=158
  Объект 18: x1=334, y1=146, x2=354, y2=155
  Объект 19: x1=777, y1=150, x2=798, y2=159
  Объект 20: x1=1170, y1=149, x2=1190, y2=158
  Объект 21: x1=197, y1=146, x2=217, y2=155
  Объект 22: x1=1148, y1=149, x2=1169, y2=158
  Объект 23: x1=639, y1=150, x2=660, y2=158
  Объект 24: x1=1464, y1=150, x2=1485, y2=158
  Объект 25: x1=1307, y1=149, x2=1329, y2=158
  Объект 26: x1=1032, y1=149, x2=1052, y2=158
  Объект 27: x1=734, y1=150, x2=757, y2=159
  Объект 28: x1=80, y1=146, x2=98, y2=155
  Объект 29: x1=1029, y1=176, x2=1054, y2=186
  Объект 30: x1=1424, y1=149, x2=1445, y2=158
  Объект 31: x1=1327, y1=149, x2=1346, y2=158
  Объект 32: x1=873, y1=150, x2=895, y2=159
  Объект 33: x1=620, y1=149, x2=639, y2=158
  Объект 34: x1=915, y1=150, x2=934, y2=158
  Объект 35: x1=1169, y1=177, x2=1193, y2=186
  Объект 36: x1=1052, y1=149, x2=1072, y2=158
  Объект 37: x1=1189, y1=150, x2=1209, y2=158
  Объект 38: x1=375, y1=146, x2=397, y2=154
  Объект 39: x1=236, y1=146, x2=259, y2=154
  Объект 40: x1=353, y1=173, x2=373, y2=182
  Объект 41: x1=755, y1=176, x2=777, y2=186
  Объект 42: x1=1012, y1=149, x2=1032, y2=158
  Объект 43: x1=1445, y1=150, x2=1466, y2=159
  Объект 44: x1=215, y1=173, x2=237, y2=182
  Объект 45: x1=99, y1=146, x2=122, y2=155
  Объект 46: x1=892, y1=176, x2=914, y2=186
  Объект 47: x1=599, y1=151, x2=620, y2=160
  Объект 48: x1=1307, y1=177, x2=1330, y2=186
  Объект 49: x1=78, y1=172, x2=99, y2=182
  Объект 50: x1=1052, y1=151, x2=1072, y2=160
  Объект 51: x1=1011, y1=151, x2=1032, y2=161
  Объект 52: x1=618, y1=177, x2=640, y2=185
  Объект 53: x1=600, y1=149, x2=619, y2=159
  Объект 54: x1=358, y1=145, x2=381, y2=154
  Объект 55: x1=1286, y1=151, x2=1306, y2=160
  Объект 56: x1=222, y1=145, x2=248, y2=154
  Объект 57: x1=224, y1=94, x2=263, y2=120
  Объект 58: x1=1190, y1=151, x2=1209, y2=160
  Объект 59: x1=1176, y1=93, x2=1216, y2=120
  Объект 60: x1=1176, y1=82, x2=1204, y2=118
  Объект 61: x1=1445, y1=177, x2=1468, y2=185
  Объект 62: x1=1327, y1=151, x2=1346, y2=160
  Объект 63: x1=893, y1=151, x2=913, y2=159
  Объект 64: x1=1463, y1=151, x2=1483, y2=161
  Объект 65: x1=355, y1=168, x2=378, y2=181
  Объект 66: x1=89, y1=145, x2=117, y2=154
  Объект 67: x1=894, y1=147, x2=914, y2=157
  Объект 68: x1=625, y1=93, x2=665, y2=120
  Объект 69: x1=1028, y1=152, x2=1048, y2=160
  Объект 70: x1=1033, y1=173, x2=1057, y2=186
  Объект 71: x1=1421, y1=151, x2=1442, y2=165
  Объект 72: x1=619, y1=147, x2=639, y2=157
  Объект 73: x1=1036, y1=150, x2=1056, y2=160
  Объект 74: x1=217, y1=169, x2=241, y2=182
  Объект 75: x1=1031, y1=146, x2=1050, y2=157
  Объект 76: x1=793, y1=214, x2=817, y2=229
  Объект 77: x1=898, y1=150, x2=919, y2=160
  Объект 78: x1=763, y1=151, x2=784, y2=160
  Объект 79: x1=217, y1=117, x2=233, y2=127
  Объект 80: x1=1444, y1=146, x2=1466, y2=157
  Объект 81: x1=1011, y1=146, x2=1034, y2=157
  Объект 82: x1=1286, y1=146, x2=1306, y2=157
  Объект 83: x1=1434, y1=150, x2=1452, y2=162
  Объект 84: x1=1169, y1=146, x2=1189, y2=157
  Объект 85: x1=1163, y1=152, x2=1183, y2=161
  Объект 86: x1=1423, y1=146, x2=1444, y2=157
  Объект 87: x1=106, y1=146, x2=121, y2=158
  Объект 88: x1=447, y1=125, x2=462, y2=141
  Объект 89: x1=630, y1=152, x2=649, y2=162
  Объект 90: x1=1299, y1=151, x2=1318, y2=161
  Объект 91: x1=55, y1=144, x2=79, y2=154
  Объект 92: x1=733, y1=145, x2=757, y2=157
  Объект 93: x1=913, y1=146, x2=935, y2=158
  Объект 94: x1=756, y1=146, x2=778, y2=157
  Объект 95: x1=872, y1=145, x2=894, y2=157
  Объект 96: x1=599, y1=145, x2=621, y2=157
  Объект 97: x1=1049, y1=146, x2=1073, y2=158
  Объект 98: x1=1307, y1=146, x2=1329, y2=157
  Объект 99: x1=776, y1=147, x2=797, y2=158
  Объект 100: x1=243, y1=146, x2=258, y2=158
  Объект 101: x1=1185, y1=146, x2=1210, y2=157
  Объект 102: x1=78, y1=117, x2=93, y2=128
  Объект 103: x1=1038, y1=94, x2=1078, y2=120
  Объект 104: x1=1148, y1=145, x2=1174, y2=157
  Объект 105: x1=1318, y1=146, x2=1346, y2=157
  Объект 106: x1=896, y1=172, x2=921, y2=185
  Объект 107: x1=618, y1=117, x2=633, y2=128
  Объект 108: x1=381, y1=146, x2=396, y2=159
  Объект 109: x1=892, y1=117, x2=909, y2=128
  Объект 110: x1=59, y1=171, x2=81, y2=182
  Объект 111: x1=1287, y1=174, x2=1309, y2=185
  Объект 112: x1=1422, y1=172, x2=1446, y2=185
  Объект 113: x1=1453, y1=146, x2=1484, y2=157
  Объект 114: x1=755, y1=117, x2=772, y2=128
  Объект 115: x1=1286, y1=145, x2=1310, y2=157
  Объект 116: x1=1481, y1=214, x2=1506, y2=231
  Объект 117: x1=638, y1=147, x2=659, y2=158
  Объект 118: x1=81, y1=169, x2=105, y2=182
  Объект 119: x1=448, y1=121, x2=472, y2=146
  Объект 120: x1=1205, y1=215, x2=1230, y2=230
  Объект 121: x1=760, y1=173, x2=784, y2=185
  Объект 122: x1=353, y1=117, x2=368, y2=127
  Объект 123: x1=731, y1=173, x2=756, y2=185
  Объект 124: x1=1029, y1=117, x2=1047, y2=128
  Объект 125: x1=1326, y1=147, x2=1347, y2=158
  Объект 126: x1=94, y1=152, x2=110, y2=166
  Объект 127: x1=1155, y1=175, x2=1172, y2=185
  Объект 128: x1=1416, y1=149, x2=1430, y2=165
  Объект 129: x1=1068, y1=215, x2=1093, y2=230

bracing: 26 объектов
  Объект 1: x1=471, y1=153, x2=484, y2=168
  Объект 2: x1=1022, y1=217, x2=1041, y2=233
  Объект 3: x1=70, y1=217, x2=89, y2=233
  Объект 4: x1=609, y1=217, x2=628, y2=233
  Объект 5: x1=208, y1=217, x2=227, y2=233
  Объект 6: x1=884, y1=217, x2=904, y2=233
  Объект 7: x1=345, y1=217, x2=365, y2=233
  Объект 8: x1=1297, y1=217, x2=1317, y2=233
  Объект 9: x1=747, y1=217, x2=766, y2=233
  Объект 10: x1=1434, y1=217, x2=1455, y2=233
  Объект 11: x1=1160, y1=217, x2=1180, y2=233
  Объект 12: x1=472, y1=77, x2=484, y2=110
  Объект 13: x1=1303, y1=64, x2=1311, y2=75
  Объект 14: x1=773, y1=214, x2=791, y2=231
  Объект 15: x1=1048, y1=214, x2=1067, y2=231
  Объект 16: x1=97, y1=213, x2=114, y2=231
  Объект 17: x1=372, y1=214, x2=390, y2=231
  Объект 18: x1=1323, y1=214, x2=1342, y2=231
  Объект 19: x1=910, y1=213, x2=929, y2=231
  Объект 20: x1=1185, y1=212, x2=1204, y2=231
  Объект 21: x1=233, y1=213, x2=252, y2=231
  Объект 22: x1=1441, y1=63, x2=1449, y2=75
  Объект 23: x1=1027, y1=66, x2=1037, y2=78
  Объект 24: x1=1166, y1=66, x2=1175, y2=78
  Объект 25: x1=1460, y1=213, x2=1479, y2=231
  Объект 26: x1=74, y1=66, x2=84, y2=78

automatics: 12 объектов
  Объект 1: x1=1294, y1=77, x2=1311, y2=109
  Объект 2: x1=1431, y1=77, x2=1449, y2=109
  Объект 3: x1=743, y1=80, x2=760, y2=112
  Объект 4: x1=465, y1=117, x2=483, y2=148
