transformators: 27 объектов
  Объект 1: x1=1108, y1=72, x2=1129, y2=91
  Объект 2: x1=1133, y1=72, x2=1155, y2=91
  Объект 3: x1=1082, y1=72, x2=1104, y2=91
  Объект 4: x1=1108, y1=26, x2=1129, y2=44
  Объект 5: x1=1082, y1=26, x2=1104, y2=44
  Объект 6: x1=1133, y1=26, x2=1155, y2=44
  Объект 7: x1=516, y1=153, x2=538, y2=171
  Объект 8: x1=516, y1=198, x2=538, y2=216
  Объект 9: x1=689, y1=153, x2=711, y2=171
  Объект 10: x1=922, y1=153, x2=943, y2=171
  Объект 11: x1=110, y1=153, x2=132, y2=171
  Объект 12: x1=483, y1=153, x2=505, y2=171
  Объект 13: x1=753, y1=153, x2=774, y2=171
  Объект 14: x1=719, y1=153, x2=741, y2=171
  Объект 15: x1=719, y1=198, x2=740, y2=216
  Объект 16: x1=347, y1=153, x2=369, y2=171
  Объект 17: x1=313, y1=153, x2=335, y2=171
  Объект 18: x1=281, y1=153, x2=303, y2=171
  Объект 19: x1=890, y1=153, x2=911, y2=171
  Объект 20: x1=921, y1=198, x2=944, y2=216
  Объект 21: x1=951, y1=153, x2=973, y2=171
  Объект 22: x1=110, y1=198, x2=133, y2=216
  Объект 23: x1=78, y1=153, x2=100, y2=171
  Объект 24: x1=140, y1=153, x2=162, y2=171
  Объект 25: x1=313, y1=198, x2=335, y2=216
  Объект 26: x1=550, y1=153, x2=572, y2=171
  Объект 27: x1=348, y1=147, x2=372, y2=169

WH_Counter: 5 объектов
  Объект 1: x1=164, y1=16, x2=210, y2=79
  Объект 2: x1=975, y1=18, x2=1021, y2=79
  Объект 3: x1=772, y1=16, x2=818, y2=79
  Объект 4: x1=367, y1=17, x2=412, y2=79
  Объект 5: x1=570, y1=16, x2=616, y2=80

bracing: 3 объектов
  Объект 1: x1=1108, y1=120, x2=1125, y2=164
  Объект 2: x1=1109, y1=231, x2=1125, y2=249
  Объект 3: x1=1102, y1=262, x2=1130, y2=284

text: 38 объектов
  Объект 1: x1=737, y1=75, x2=800, y2=125
  Объект 2: x1=942, y1=75, x2=1001, y2=125
  Объект 3: x1=1127, y1=210, x2=1189, y2=263
  Объект 4: x1=129, y1=78, x2=189, y2=131
  Объект 5: x1=536, y1=74, x2=597, y2=124
  Объект 6: x1=334, y1=75, x2=393, y2=125
  Объект 7: x1=1118, y1=15, x2=1140, y2=25
  Объект 8: x1=1143, y1=14, x2=1164, y2=25
  Объект 9: x1=1093, y1=14, x2=1115, y2=25
  Объект 10: x1=88, y1=141, x2=117, y2=153
  Объект 11: x1=730, y1=187, x2=759, y2=198
  Объект 12: x1=121, y1=187, x2=150, y2=197
  Объект 13: x1=527, y1=187, x2=557, y2=198
  Объект 14: x1=324, y1=187, x2=353, y2=198
  Объект 15: x1=150, y1=141, x2=180, y2=152
  Объект 16: x1=291, y1=141, x2=320, y2=153
  Объект 17: x1=932, y1=187, x2=961, y2=198
  Объект 18: x1=1143, y1=61, x2=1164, y2=72
  Объект 19: x1=899, y1=140, x2=929, y2=152
  Объект 20: x1=357, y1=140, x2=387, y2=152
  Объект 21: x1=762, y1=141, x2=792, y2=152
  Объект 22: x1=960, y1=141, x2=991, y2=152
  Объект 23: x1=559, y1=141, x2=590, y2=152
  Объект 24: x1=1093, y1=61, x2=1115, y2=71
  Объект 25: x1=698, y1=140, x2=725, y2=152
  Объект 26: x1=1117, y1=61, x2=1140, y2=71
  Объект 27: x1=493, y1=140, x2=523, y2=152
  Объект 28: x1=119, y1=135, x2=148, y2=152
  Объект 29: x1=777, y1=256, x2=817, y2=273
  Объект 30: x1=728, y1=141, x2=759, y2=152
  Объект 31: x1=83, y1=143, x2=113, y2=157
  Объект 32: x1=285, y1=142, x2=316, y2=154
  Объект 33: x1=168, y1=256, x2=209, y2=272
  Объект 34: x1=371, y1=256, x2=410, y2=273
  Объект 35: x1=120, y1=140, x2=148, y2=152
  Объект 36: x1=323, y1=140, x2=354, y2=152
  Объект 37: x1=574, y1=256, x2=614, y2=274
  Объект 38: x1=979, y1=256, x2=1020, y2=272

automatics: 6 объектов
  Объект 1: x1=1098, y1=175, x2=1139, y2=222
  Объект 2: x1=912, y1=71, x2=936, y2=117
  Объект 3: x1=709, y1=71, x2=734, y2=117
  Объект 4: x1=304, y1=71, x2=328, y2=116
  Объект 5: x1=101, y1=75, x2=125, y2=121
  Объект 6: x1=507, y1=71, x2=531, y2=117

