WH_Counter: 5 объектов
  Объект 1: x1=510, y1=131, x2=550, y2=186
  Объект 2: x1=329, y1=131, x2=369, y2=186
  Объект 3: x1=691, y1=131, x2=732, y2=187
  Объект 4: x1=147, y1=131, x2=188, y2=187
  Объект 5: x1=873, y1=131, x2=913, y2=187

transformators: 5 объектов
  Объект 1: x1=288, y1=284, x2=307, y2=300
  Объект 2: x1=832, y1=284, x2=851, y2=300
  Объект 3: x1=106, y1=284, x2=126, y2=300
  Объект 4: x1=650, y1=284, x2=670, y2=300
  Объект 5: x1=469, y1=284, x2=489, y2=300

text: 15 объектов
  Объект 1: x1=123, y1=205, x2=178, y2=251
  Объект 2: x1=305, y1=205, x2=360, y2=252
  Объект 3: x1=667, y1=205, x2=722, y2=251
  Объект 4: x1=849, y1=205, x2=904, y2=252
  Объект 5: x1=486, y1=205, x2=542, y2=252
  Объект 6: x1=86, y1=194, x2=99, y2=297
  Объект 7: x1=266, y1=191, x2=280, y2=297
  Объект 8: x1=78, y1=194, x2=99, y2=298
  Объект 9: x1=444, y1=193, x2=460, y2=297
  Объект 10: x1=450, y1=195, x2=462, y2=297
  Объект 11: x1=254, y1=189, x2=280, y2=298
  Объект 12: x1=630, y1=194, x2=643, y2=296
  Объект 13: x1=66, y1=173, x2=100, y2=296
  Объект 14: x1=812, y1=195, x2=825, y2=295
  Объект 15: x1=618, y1=192, x2=641, y2=297

automatics: 5 объектов
  Объект 1: x1=824, y1=203, x2=845, y2=243
  Объект 2: x1=280, y1=203, x2=301, y2=243
  Объект 3: x1=461, y1=203, x2=482, y2=243
  Объект 4: x1=643, y1=203, x2=664, y2=244
  Объект 5: x1=98, y1=203, x2=120, y2=243

bracing: 10 объектов
  Объект 1: x1=833, y1=153, x2=848, y2=192
  Объект 2: x1=470, y1=152, x2=485, y2=192
  Объект 3: x1=651, y1=153, x2=666, y2=192
  Объект 4: x1=107, y1=153, x2=123, y2=192
  Объект 5: x1=288, y1=153, x2=304, y2=192
  Объект 6: x1=288, y1=251, x2=304, y2=268
  Объект 7: x1=106, y1=251, x2=123, y2=269
  Объект 8: x1=832, y1=251, x2=848, y2=269
  Объект 9: x1=651, y1=251, x2=667, y2=269
  Объект 10: x1=469, y1=251, x2=485, y2=269

