transformators: 4 объектов
  Объект 1: x1=1542, y1=799, x2=1582, y2=834
  Объект 2: x1=2676, y1=799, x2=2715, y2=835
  Объект 3: x1=1920, y1=799, x2=1959, y2=835
  Объект 4: x1=1164, y1=799, x2=1203, y2=835

WH_Counter: 6 объектов
  Объект 1: x1=1626, y1=476, x2=1712, y2=593
  Объект 2: x1=1248, y1=477, x2=1334, y2=591
  Объект 3: x1=2374, y1=475, x2=2460, y2=594
  Объект 4: x1=2004, y1=476, x2=2090, y2=593
  Объект 5: x1=2759, y1=475, x2=2846, y2=592
  Объект 6: x1=3174, y1=2175, x2=3276, y2=2304

text: 11 объектов
  Объект 1: x1=2712, y1=632, x2=2825, y2=730
  Объект 2: x1=2327, y1=629, x2=2437, y2=730
  Объект 3: x1=1957, y1=632, x2=2067, y2=730
  Объект 4: x1=1578, y1=632, x2=1691, y2=729
  Объект 5: x1=1202, y1=631, x2=1317, y2=728
  Объект 6: x1=2635, y1=50, x2=2742, y2=128
  Объект 7: x1=2600, y1=49, x2=2706, y2=128
  Объект 8: x1=1553, y1=778, x2=1605, y2=803
  Объект 9: x1=2565, y1=47, x2=2672, y2=129
  Объект 10: x1=2286, y1=722, x2=2319, y2=762
  Объект 11: x1=2532, y1=48, x2=2639, y2=129

bracing: 15 объектов
  Объект 1: x1=1543, y1=726, x2=1575, y2=760
  Объект 2: x1=1920, y1=725, x2=1953, y2=761
  Объект 3: x1=2676, y1=725, x2=2708, y2=761
  Объект 4: x1=1164, y1=725, x2=1196, y2=762
  Объект 5: x1=2290, y1=724, x2=2323, y2=762
  Объект 6: x1=1166, y1=518, x2=1195, y2=602
  Объект 7: x1=2677, y1=519, x2=2706, y2=601
  Объект 8: x1=1921, y1=520, x2=1950, y2=603
  Объект 9: x1=2292, y1=519, x2=2321, y2=602
  Объект 10: x1=1543, y1=521, x2=1573, y2=603
  Объект 11: x1=2667, y1=893, x2=2721, y2=935
  Объект 12: x1=1912, y1=894, x2=1964, y2=934
  Объект 13: x1=1545, y1=712, x2=1572, y2=758
  Объект 14: x1=1535, y1=894, x2=1583, y2=936
  Объект 15: x1=1158, y1=894, x2=1207, y2=935

automatics: 5 объектов
  Объект 1: x1=1524, y1=625, x2=1569, y2=709
  Объект 2: x1=2658, y1=625, x2=2702, y2=709
  Объект 3: x1=1903, y1=625, x2=1948, y2=710
  Объект 4: x1=1147, y1=625, x2=1192, y2=710
  Объект 5: x1=2272, y1=625, x2=2318, y2=710

