WH_Counter: 14 объектов
  Объект 1: x1=1942, y1=517, x2=2027, y2=637
  Объект 2: x1=1574, y1=514, x2=1657, y2=639
  Объект 3: x1=3076, y1=513, x2=3167, y2=638
  Объект 4: x1=2321, y1=518, x2=2403, y2=635
  Объект 5: x1=2699, y1=517, x2=2781, y2=635
  Объект 6: x1=1193, y1=516, x2=1278, y2=638
  Объект 7: x1=3461, y1=938, x2=3533, y2=1006
  Объект 8: x1=3461, y1=855, x2=3532, y2=927
  Объект 9: x1=3456, y1=544, x2=3530, y2=635
  Объект 10: x1=3455, y1=572, x2=3528, y2=631
  Объект 11: x1=3460, y1=1018, x2=3532, y2=1083
  Объект 12: x1=3457, y1=666, x2=3532, y2=772
  Объект 13: x1=3457, y1=506, x2=3531, y2=563
  Объект 14: x1=3456, y1=1274, x2=3534, y2=1384

transformators: 49 объектов
  Объект 1: x1=3030, y1=877, x2=3071, y2=913
  Объект 2: x1=1482, y1=799, x2=1517, y2=833
  Объект 3: x1=2178, y1=750, x2=2217, y2=786
  Объект 4: x1=1849, y1=798, x2=1885, y2=824
  Объект 5: x1=2988, y1=800, x2=3022, y2=832
  Объект 6: x1=2275, y1=751, x2=2314, y2=786
  Объект 7: x1=1803, y1=794, x2=1839, y2=824
  Объект 8: x1=1433, y1=796, x2=1472, y2=834
  Объект 9: x1=2224, y1=751, x2=2265, y2=787
  Объект 10: x1=2605, y1=751, x2=2643, y2=786
  Объект 11: x1=1894, y1=796, x2=1933, y2=824
  Объект 12: x1=1528, y1=883, x2=1568, y2=916
  Объект 13: x1=2983, y1=877, x2=3022, y2=914
  Объект 14: x1=2225, y1=848, x2=2266, y2=882
  Объект 15: x1=2938, y1=797, x2=2974, y2=834
  Объект 16: x1=2938, y1=876, x2=2973, y2=914
  Объект 17: x1=1850, y1=877, x2=1886, y2=905
  Объект 18: x1=2601, y1=848, x2=2642, y2=881
  Объект 19: x1=1894, y1=874, x2=1938, y2=905
  Объект 20: x1=2649, y1=749, x2=2688, y2=785
  Объект 21: x1=1529, y1=799, x2=1568, y2=834
  Объект 22: x1=1482, y1=881, x2=1520, y2=918
  Объект 23: x1=1141, y1=547, x2=1180, y2=581
  Объект 24: x1=1804, y1=875, x2=1840, y2=904
  Объект 25: x1=2559, y1=745, x2=2601, y2=788
  Объект 26: x1=3033, y1=801, x2=3073, y2=834
  Объект 27: x1=1432, y1=879, x2=1473, y2=919
  Объект 28: x1=1138, y1=633, x2=1181, y2=662
  Объект 29: x1=1074, y1=633, x2=1144, y2=662
  Объект 30: x1=1062, y1=629, x2=1118, y2=663
  Объект 31: x1=1099, y1=553, x2=1134, y2=582
  Объект 32: x1=1063, y1=551, x2=1098, y2=583
  Объект 33: x1=1311, y1=795, x2=1362, y2=845
  Объект 34: x1=1737, y1=786, x2=1791, y2=830
  Объект 35: x1=2872, y1=793, x2=2916, y2=831
  Объект 36: x1=1062, y1=630, x2=1099, y2=663
  Объект 37: x1=1681, y1=786, x2=1732, y2=836
  Объект 38: x1=2564, y1=744, x2=2639, y2=788
  Объект 39: x1=1366, y1=775, x2=1419, y2=844
  Объект 40: x1=1137, y1=538, x2=1179, y2=580
  Объект 41: x1=1367, y1=791, x2=1415, y2=846
  Объект 42: x1=1850, y1=865, x2=1885, y2=903
  Объект 43: x1=1896, y1=862, x2=1941, y2=904
  Объект 44: x1=3023, y1=866, x2=3059, y2=909
  Объект 45: x1=1810, y1=866, x2=1846, y2=903
  Объект 46: x1=2950, y1=866, x2=3000, y2=911
  Объект 47: x1=1065, y1=548, x2=1146, y2=586
  Объект 48: x1=2660, y1=962, x2=2721, y2=1015
  Объект 49: x1=2815, y1=782, x2=2867, y2=837

bracing: 22 объектов
  Объект 1: x1=1092, y1=972, x2=1141, y2=1016
  Объект 2: x1=2593, y1=973, x2=2648, y2=1016
  Объект 3: x1=1478, y1=718, x2=1511, y2=751
  Объект 4: x1=2982, y1=717, x2=3014, y2=751
  Объект 5: x1=2216, y1=968, x2=2269, y2=1014
  Объект 6: x1=1100, y1=706, x2=1134, y2=791
  Объект 7: x1=2974, y1=969, x2=3025, y2=1014
  Объект 8: x1=1091, y1=908, x2=1135, y2=957
  Объект 9: x1=1850, y1=711, x2=1882, y2=741
  Объект 10: x1=1841, y1=968, x2=1893, y2=1013
  Объект 11: x1=1471, y1=969, x2=1521, y2=1013
  Объект 12: x1=1849, y1=508, x2=1881, y2=585
  Объект 13: x1=1480, y1=512, x2=1513, y2=594
  Объект 14: x1=2983, y1=510, x2=3017, y2=594
  Объект 15: x1=2651, y1=748, x2=2690, y2=788
  Объект 16: x1=2588, y1=744, x2=2632, y2=786
  Объект 17: x1=2602, y1=847, x2=2642, y2=887
  Объект 18: x1=2286, y1=962, x2=2338, y2=1014
  Объект 19: x1=1061, y1=907, x2=1138, y2=965
  Объект 20: x1=1096, y1=717, x2=1139, y2=788
  Объект 21: x1=1841, y1=701, x2=1885, y2=742
  Объект 22: x1=2222, y1=574, x2=2258, y2=667

text: 108 объектов
  Объект 1: x1=3016, y1=707, x2=3129, y2=825
  Объект 2: x1=3015, y1=721, x2=3128, y2=806
  Объект 3: x1=1511, y1=726, x2=1624, y2=801
  Объект 4: x1=2640, y1=617, x2=2754, y2=711
  Объект 5: x1=2263, y1=615, x2=2368, y2=707
  Объект 6: x1=2622, y1=816, x2=2678, y2=845
  Объект 7: x1=2239, y1=818, x2=2303, y2=846
  Объект 8: x1=1511, y1=694, x2=1626, y2=814
  Объект 9: x1=1137, y1=869, x2=1255, y2=978
  Объект 10: x1=1883, y1=673, x2=1997, y2=783
  Объект 11: x1=1511, y1=706, x2=1626, y2=788
  Объект 12: x1=2870, y1=603, x2=2938, y2=748
  Объект 13: x1=1895, y1=751, x2=1991, y2=795
  Объект 14: x1=2198, y1=726, x2=2245, y2=752
  Объект 15: x1=2658, y1=729, x2=2724, y2=755
  Объект 16: x1=2248, y1=725, x2=2294, y2=754
  Объект 17: x1=2621, y1=722, x2=2663, y2=752
  Объект 18: x1=2560, y1=726, x2=2623, y2=778
  Объект 19: x1=2871, y1=668, x2=2935, y2=749
  Объект 20: x1=1736, y1=631, x2=1799, y2=772
  Объект 21: x1=2991, y1=858, x2=3039, y2=889
  Объект 22: x1=1367, y1=628, x2=1428, y2=782
  Объект 23: x1=2950, y1=780, x2=2991, y2=814
  Объект 24: x1=1506, y1=769, x2=1623, y2=818
  Объект 25: x1=1545, y1=861, x2=1590, y2=886
  Объект 26: x1=2872, y1=692, x2=2934, y2=749
  Объект 27: x1=2281, y1=728, x2=2342, y2=754
  Объект 28: x1=1734, y1=670, x2=1798, y2=773
  Объект 29: x1=2189, y1=727, x2=2244, y2=757
  Объект 30: x1=1900, y1=722, x2=1994, y2=796
  Объект 31: x1=3051, y1=857, x2=3098, y2=881
  Объект 32: x1=1862, y1=766, x2=1909, y2=796
  Объект 33: x1=1306, y1=625, x2=1363, y2=719
  Объект 34: x1=3005, y1=777, x2=3071, y2=811
  Объект 35: x1=1489, y1=860, x2=1538, y2=899
  Объект 36: x1=1911, y1=844, x2=1965, y2=874
  Объект 37: x1=2612, y1=724, x2=2662, y2=762
  Объект 38: x1=2966, y1=857, x2=3022, y2=899
  Объект 39: x1=1062, y1=601, x2=1170, y2=660
  Объект 40: x1=1442, y1=777, x2=1477, y2=824
  Объект 41: x1=1858, y1=843, x2=1910, y2=875
  Объект 42: x1=1369, y1=762, x2=1426, y2=830
  Объект 43: x1=1499, y1=779, x2=1555, y2=810
  Объект 44: x1=2722, y1=961, x2=2780, y2=1010
  Объект 45: x1=1733, y1=709, x2=1798, y2=776
  Объект 46: x1=2907, y1=777, x2=2979, y2=823
  Объект 47: x1=1677, y1=618, x2=1735, y2=735
  Объект 48: x1=1368, y1=731, x2=1429, y2=823
  Объект 49: x1=2342, y1=958, x2=2405, y2=1008
  Объект 50: x1=2240, y1=827, x2=2306, y2=856
  Объект 51: x1=1111, y1=600, x2=1185, y2=660
  Объект 52: x1=2884, y1=782, x2=2961, y2=823
  Объект 53: x1=1812, y1=771, x2=1852, y2=807
  Объект 54: x1=1885, y1=777, x2=1971, y2=813
  Объект 55: x1=1837, y1=771, x2=1886, y2=804
  Объект 56: x1=3006, y1=655, x2=3121, y2=746
  Объект 57: x1=1061, y1=606, x2=1137, y2=662
  Объект 58: x1=2948, y1=860, x2=2997, y2=898
  Объект 59: x1=3049, y1=853, x2=3108, y2=881
  Объект 60: x1=1470, y1=858, x2=1515, y2=906
  Объект 61: x1=1325, y1=626, x2=1429, y2=716
  Объект 62: x1=2963, y1=778, x2=3010, y2=819
  Объект 63: x1=3015, y1=674, x2=3134, y2=787
  Объект 64: x1=1867, y1=684, x2=2001, y2=751
  Объект 65: x1=2816, y1=604, x2=2867, y2=692
  Объект 66: x1=1513, y1=859, x2=1564, y2=904
  Объект 67: x1=1466, y1=778, x2=1511, y2=825
  Объект 68: x1=1840, y1=845, x2=1891, y2=889
  Объект 69: x1=1420, y1=770, x2=1477, y2=832
  Объект 70: x1=1092, y1=534, x2=1134, y2=577
  Объект 71: x1=2154, y1=717, x2=2200, y2=754
  Объект 72: x1=1702, y1=622, x2=1800, y2=749
  Объект 73: x1=1679, y1=774, x2=1735, y2=838
  Объект 74: x1=1738, y1=766, x2=1798, y2=825
  Объект 75: x1=1311, y1=661, x2=1364, y2=736
  Объект 76: x1=1066, y1=543, x2=1110, y2=580
  Объект 77: x1=3023, y1=858, x2=3068, y2=901
  Объект 78: x1=1137, y1=533, x2=1182, y2=581
  Объект 79: x1=1193, y1=516, x2=1278, y2=639
  Объект 80: x1=1543, y1=856, x2=1606, y2=888
  Объект 81: x1=1437, y1=860, x2=1475, y2=916
  Объект 82: x1=1305, y1=746, x2=1366, y2=842
  Объект 83: x1=1891, y1=853, x2=1950, y2=893
  Объект 84: x1=3006, y1=714, x2=3130, y2=786
  Объект 85: x1=1783, y1=772, x2=1844, y2=821
  Объект 86: x1=1305, y1=620, x2=1364, y2=763
  Объект 87: x1=1306, y1=771, x2=1366, y2=846
  Объект 88: x1=3015, y1=714, x2=3131, y2=760
  Объект 89: x1=1677, y1=749, x2=1736, y2=841
  Объект 90: x1=1811, y1=839, x2=1850, y2=893
  Объект 91: x1=1310, y1=681, x2=1364, y2=755
  Объект 92: x1=2871, y1=784, x2=2915, y2=832
  Объект 93: x1=1887, y1=685, x2=2000, y2=809
  Объект 94: x1=1493, y1=643, x2=1603, y2=754
  Объект 95: x1=2663, y1=957, x2=2740, y2=1014
  Объект 96: x1=2811, y1=589, x2=2868, y2=658
  Объект 97: x1=2662, y1=725, x2=2751, y2=760
  Объект 98: x1=2578, y1=817, x2=2630, y2=851
  Объект 99: x1=3460, y1=1104, x2=3524, y2=1143
  Объект 100: x1=2815, y1=701, x2=2865, y2=750
  Объект 101: x1=1508, y1=712, x2=1627, y2=755
  Объект 102: x1=2175, y1=812, x2=2248, y2=853
  Объект 103: x1=2670, y1=738, x2=2712, y2=779
  Объект 104: x1=2639, y1=802, x2=2683, y2=842
  Объект 105: x1=1130, y1=600, x2=1182, y2=658
  Объект 106: x1=1335, y1=622, x2=1435, y2=743
  Объект 107: x1=2866, y1=890, x2=2935, y2=946
  Объект 108: x1=2210, y1=822, x2=2254, y2=864

automatics: 10 объектов
  Объект 1: x1=2207, y1=609, x2=2256, y2=696
  Объект 2: x1=1832, y1=609, x2=1897, y2=691
  Объект 3: x1=1083, y1=809, x2=1160, y2=897
  Объект 4: x1=2587, y1=608, x2=2633, y2=694
  Объект 5: x1=1461, y1=621, x2=1536, y2=701
  Объект 6: x1=2965, y1=619, x2=3033, y2=697
  Объект 7: x1=1464, y1=627, x2=1528, y2=685
  Объект 8: x1=1064, y1=545, x2=1173, y2=590
  Объект 9: x1=1437, y1=789, x2=1472, y2=836
  Объект 10: x1=1435, y1=868, x2=1474, y2=915

