text: 200 объектов
  Объект 1: x1=7821, y1=780, x2=7975, y2=887
  Объект 2: x1=3706, y1=775, x2=3859, y2=912
  Объект 3: x1=2195, y1=768, x2=2352, y2=906
  Объект 4: x1=1832, y1=772, x2=1974, y2=876
  Объект 5: x1=9184, y1=602, x2=9313, y2=773
  Объект 6: x1=4072, y1=777, x2=4218, y2=894
  Объект 7: x1=3346, y1=771, x2=3490, y2=856
  Объект 8: x1=6299, y1=781, x2=6462, y2=883
  Объект 9: x1=6395, y1=561, x2=6527, y2=691
  Объект 10: x1=4467, y1=774, x2=4590, y2=879
  Объект 11: x1=8968, y1=784, x2=9092, y2=883
  Объект 12: x1=4487, y1=776, x2=4611, y2=865
  Объект 13: x1=3420, y1=538, x2=3552, y2=698
  Объект 14: x1=8271, y1=553, x2=8428, y2=687
  Объект 15: x1=2977, y1=578, x2=3104, y2=697
  Объект 16: x1=1915, y1=572, x2=2034, y2=686
  Объект 17: x1=6694, y1=781, x2=6827, y2=893
  Объект 18: x1=6388, y1=525, x2=6540, y2=686
  Объект 19: x1=9004, y1=540, x2=9160, y2=693
  Объект 20: x1=9184, y1=637, x2=9312, y2=796
  Объект 21: x1=7126, y1=615, x2=7241, y2=689
  Объект 22: x1=4538, y1=627, x2=4634, y2=693
  Объект 23: x1=5635, y1=597, x2=5753, y2=703
  Объект 24: x1=2977, y1=576, x2=3160, y2=697
  Объект 25: x1=2993, y1=548, x2=3181, y2=693
  Объект 26: x1=9343, y1=634, x2=9469, y2=752
  Объект 27: x1=8207, y1=782, x2=8344, y2=906
  Объект 28: x1=1149, y1=618, x2=1262, y2=694
  Объект 29: x1=1519, y1=520, x2=1677, y2=684
  Объект 30: x1=1908, y1=536, x2=2046, y2=684
  Объект 31: x1=3368, y1=773, x2=3488, y2=841
  Объект 32: x1=2707, y1=514, x2=2808, y2=642
  Объект 33: x1=4577, y1=514, x2=4681, y2=634
  Объект 34: x1=7182, y1=514, x2=7298, y2=645
  Объект 35: x1=4916, y1=523, x2=5059, y2=672
  Объект 36: x1=6765, y1=585, x2=6907, y2=691
  Объект 37: x1=7544, y1=571, x2=7659, y2=689
  Объект 38: x1=1832, y1=801, x2=1969, y2=905
  Объект 39: x1=7937, y1=523, x2=8051, y2=688
  Объект 40: x1=7551, y1=526, x2=7672, y2=687
  Объект 41: x1=7887, y1=552, x2=8041, y2=692
  Объект 42: x1=3006, y1=764, x2=3093, y2=832
  Объект 43: x1=4151, y1=569, x2=4298, y2=693
  Объект 44: x1=2269, y1=600, x2=2354, y2=677
  Объект 45: x1=3033, y1=527, x2=3185, y2=689
  Объект 46: x1=8649, y1=573, x2=8786, y2=691
  Объект 47: x1=8700, y1=515, x2=8808, y2=652
  Объект 48: x1=4466, y1=765, x2=4579, y2=849
  Объект 49: x1=6775, y1=610, x2=6881, y2=685
  Объект 50: x1=5650, y1=556, x2=5771, y2=667
  Объект 51: x1=2641, y1=593, x2=2769, y2=698
  Объект 52: x1=5678, y1=515, x2=5787, y2=641
  Объект 53: x1=9044, y1=520, x2=9168, y2=689
  Объект 54: x1=3734, y1=608, x2=3823, y2=688
  Объект 55: x1=5249, y1=736, x2=5343, y2=795
  Объект 56: x1=6768, y1=533, x2=6921, y2=686
  Объект 57: x1=6058, y1=519, x2=6163, y2=669
  Объект 58: x1=1514, y1=553, x2=1658, y2=685
  Объект 59: x1=4175, y1=527, x2=4305, y2=688
  Объект 60: x1=3769, y1=566, x2=3922, y2=691
  Объект 61: x1=2560, y1=760, x2=2642, y2=826
  Объект 62: x1=2237, y1=550, x2=2372, y2=673
  Объект 63: x1=2297, y1=526, x2=2431, y2=669
  Объект 64: x1=4547, y1=530, x2=4674, y2=665
  Объект 65: x1=9363, y1=718, x2=9498, y2=815
  Объект 66: x1=6944, y1=713, x2=7081, y2=845
  Объект 67: x1=1195, y1=513, x2=1302, y2=637
  Объект 68: x1=7465, y1=586, x2=7569, y2=685
  Объект 69: x1=4915, y1=561, x2=5030, y2=679
  Объект 70: x1=8970, y1=784, x2=9084, y2=920
  Объект 71: x1=9355, y1=738, x2=9492, y2=834
  Объект 72: x1=8648, y1=517, x2=8799, y2=678
  Объект 73: x1=3023, y1=764, x2=3112, y2=826
  Объект 74: x1=5562, y1=778, x2=5678, y2=853
  Объект 75: x1=6011, y1=552, x2=6148, y2=686
  Объект 76: x1=1134, y1=779, x2=1206, y2=850
  Объект 77: x1=1157, y1=520, x2=1296, y2=669
  Объект 78: x1=2262, y1=549, x2=2418, y2=679
  Объект 79: x1=6724, y1=783, x2=6842, y2=869
  Объект 80: x1=3339, y1=825, x2=3476, y2=907
  Объект 81: x1=2657, y1=764, x2=2736, y2=813
  Объект 82: x1=4484, y1=767, x2=4613, y2=840
  Объект 83: x1=4890, y1=768, x2=4995, y2=834
  Объект 84: x1=4924, y1=762, x2=4999, y2=818
  Объект 85: x1=8224, y1=778, x2=8349, y2=885
  Объект 86: x1=2620, y1=767, x2=2729, y2=824
  Объект 87: x1=6021, y1=524, x2=6169, y2=679
  Объект 88: x1=4439, y1=776, x2=4504, y2=841
