transformators: 38 объектов
  Объект 1: x1=2235, y1=768, x2=2274, y2=804
  Объект 2: x1=2553, y1=768, x2=2593, y2=803
  Объект 3: x1=2180, y1=768, x2=2221, y2=803
  Объект 4: x1=1480, y1=768, x2=1519, y2=804
  Объект 5: x1=3007, y1=533, x2=3044, y2=566
  Объект 6: x1=2912, y1=533, x2=2950, y2=568
  Объект 7: x1=1542, y1=769, x2=1582, y2=803
  Объект 8: x1=1100, y1=768, x2=1143, y2=804
  Объект 9: x1=1796, y1=767, x2=1835, y2=803
  Объект 10: x1=1856, y1=768, x2=1897, y2=804
  Объект 11: x1=2667, y1=768, x2=2707, y2=802
  Объект 12: x1=1040, y1=769, x2=1080, y2=804
  Объект 13: x1=2612, y1=768, x2=2652, y2=804
  Объект 14: x1=1479, y1=852, x2=1518, y2=888
  Объект 15: x1=2297, y1=768, x2=2337, y2=803
  Объект 16: x1=1156, y1=768, x2=1195, y2=803
  Объект 17: x1=2235, y1=852, x2=2275, y2=888
  Объект 18: x1=3006, y1=620, x2=3045, y2=653
  Объект 19: x1=2959, y1=620, x2=2999, y2=653
  Объект 20: x1=1921, y1=768, x2=1959, y2=803
  Объект 21: x1=1417, y1=769, x2=1458, y2=804
  Объект 22: x1=2959, y1=534, x2=2998, y2=566
  Объект 23: x1=1101, y1=853, x2=1141, y2=888
  Объект 24: x1=2912, y1=620, x2=2952, y2=654
  Объект 25: x1=1856, y1=853, x2=1897, y2=888
  Объект 26: x1=2612, y1=853, x2=2653, y2=888
  Объект 27: x1=1041, y1=762, x2=1081, y2=811
  Объект 28: x1=2962, y1=619, x2=2991, y2=655
  Объект 29: x1=1415, y1=763, x2=1467, y2=806
  Объект 30: x1=1919, y1=763, x2=1967, y2=800
  Объект 31: x1=2552, y1=762, x2=2595, y2=810
  Объект 32: x1=1479, y1=763, x2=1524, y2=808
  Объект 33: x1=2610, y1=763, x2=2657, y2=808
  Объект 34: x1=1155, y1=762, x2=1212, y2=804
  Объект 35: x1=1096, y1=763, x2=1145, y2=808
  Объект 36: x1=2553, y1=767, x2=2606, y2=805
  Объект 37: x1=2226, y1=969, x2=2280, y2=1011
  Объект 38: x1=2667, y1=761, x2=2729, y2=802

text: 65 объектов
  Объект 1: x1=2195, y1=747, x2=2248, y2=768
  Объект 2: x1=2632, y1=832, x2=2687, y2=852
  Объект 3: x1=1122, y1=832, x2=1176, y2=853
  Объект 4: x1=1877, y1=832, x2=1933, y2=852
  Объект 5: x1=1497, y1=832, x2=1554, y2=854
  Объект 6: x1=2977, y1=511, x2=3026, y2=532
  Объект 7: x1=1877, y1=748, x2=1934, y2=767
  Объект 8: x1=2253, y1=833, x2=2309, y2=853
  Объект 9: x1=1495, y1=747, x2=1556, y2=768
  Объект 10: x1=1436, y1=747, x2=1491, y2=769
  Объект 11: x1=2633, y1=747, x2=2682, y2=768
  Объект 12: x1=2254, y1=748, x2=2312, y2=768
  Объект 13: x1=1061, y1=747, x2=1115, y2=768
  Объект 14: x1=1813, y1=747, x2=1869, y2=768
  Объект 15: x1=2570, y1=747, x2=2626, y2=768
  Объект 16: x1=2929, y1=512, x2=2977, y2=533
  Объект 17: x1=2651, y1=622, x2=2755, y2=716
  Объект 18: x1=1515, y1=624, x2=1621, y2=715
  Объект 19: x1=2272, y1=624, x2=2380, y2=718
  Объект 20: x1=1137, y1=632, x2=1249, y2=724
  Объект 21: x1=1121, y1=743, x2=1171, y2=767
  Объект 22: x1=1894, y1=622, x2=1997, y2=715
  Объект 23: x1=3024, y1=512, x2=3070, y2=532
  Объект 24: x1=2994, y1=881, x2=3111, y2=976
  Объект 25: x1=1935, y1=748, x2=1995, y2=768
