transformators: 32 объектов
  Объект 1: x1=1315, y1=506, x2=1355, y2=540
  Объект 2: x1=1268, y1=506, x2=1308, y2=540
  Объект 3: x1=520, y1=554, x2=560, y2=587
  Объект 4: x1=1363, y1=507, x2=1403, y2=540
  Объект 5: x1=615, y1=554, x2=655, y2=587
  Объект 6: x1=1692, y1=506, x2=1734, y2=540
  Объект 7: x1=228, y1=302, x2=269, y2=336
  Объект 8: x1=614, y1=636, x2=655, y2=670
  Объект 9: x1=567, y1=553, x2=607, y2=587
  Объект 10: x1=937, y1=624, x2=977, y2=658
  Объект 11: x1=2025, y1=554, x2=2064, y2=587
  Объект 12: x1=567, y1=636, x2=607, y2=670
  Объект 13: x1=190, y1=301, x2=228, y2=335
  Объект 14: x1=1645, y1=507, x2=1687, y2=540
  Объект 15: x1=148, y1=302, x2=189, y2=335
  Объект 16: x1=1740, y1=506, x2=1781, y2=540
  Объект 17: x1=2070, y1=554, x2=2111, y2=588
  Объект 18: x1=891, y1=624, x2=930, y2=658
  Объект 19: x1=937, y1=547, x2=977, y2=579
  Объект 20: x1=891, y1=546, x2=930, y2=578
  Объект 21: x1=984, y1=625, x2=1025, y2=659
  Объект 22: x1=2071, y1=633, x2=2111, y2=666
  Объект 23: x1=1316, y1=600, x2=1355, y2=635
  Объект 24: x1=520, y1=636, x2=560, y2=670
  Объект 25: x1=984, y1=546, x2=1024, y2=578
  Объект 26: x1=1692, y1=601, x2=1733, y2=635
  Объект 27: x1=2117, y1=554, x2=2159, y2=588
  Объект 28: x1=2117, y1=633, x2=2157, y2=666
  Объект 29: x1=148, y1=381, x2=188, y2=413
  Объект 30: x1=2024, y1=632, x2=2063, y2=665
  Объект 31: x1=228, y1=380, x2=268, y2=414
  Объект 32: x1=189, y1=380, x2=227, y2=413

WH_Counter: 5 объектов
  Объект 1: x1=659, y1=269, x2=745, y2=385
  Объект 2: x1=1408, y1=269, x2=1493, y2=386
  Объект 3: x1=1784, y1=269, x2=1870, y2=385
  Объект 4: x1=1028, y1=269, x2=1114, y2=385
  Объект 5: x1=2162, y1=269, x2=2249, y2=385

bracing: 10 объектов
  Объект 1: x1=190, y1=668, x2=222, y2=701
  Объект 2: x1=191, y1=461, x2=222, y2=543
  Объект 3: x1=939, y1=261, x2=970, y2=339
  Объект 4: x1=2072, y1=470, x2=2103, y2=505
  Объект 5: x1=568, y1=264, x2=600, y2=347
  Объект 6: x1=938, y1=463, x2=969, y2=497
  Объект 7: x1=2072, y1=265, x2=2104, y2=347
  Объект 8: x1=569, y1=471, x2=598, y2=504
  Объект 9: x1=1699, y1=324, x2=1721, y2=354
  Объект 10: x1=1332, y1=297, x2=1368, y2=321

text: 60 объектов
  Объект 1: x1=605, y1=430, x2=715, y2=522
  Объект 2: x1=1731, y1=370, x2=1839, y2=465
  Объект 3: x1=1350, y1=370, x2=1460, y2=465
  Объект 4: x1=1960, y1=457, x2=2018, y2=506
  Объект 5: x1=226, y1=628, x2=342, y2=726
  Объект 6: x1=973, y1=423, x2=1088, y2=515
  Объект 7: x1=2101, y1=430, x2=2220, y2=520
  Объект 8: x1=172, y1=359, x2=205, y2=379
  Объект 9: x1=1959, y1=541, x2=2010, y2=591
  Объект 10: x1=1335, y1=579, x2=1381, y2=599
  Объект 11: x1=455, y1=571, x2=494, y2=598
  Объект 12: x1=827, y1=552, x2=871, y2=590
  Объект 13: x1=2090, y1=533, x2=2134, y2=551
  Объект 14: x1=248, y1=359, x2=282, y2=379
  Объект 15: x1=1714, y1=580, x2=1762, y2=599
  Объект 16: x1=170, y1=280, x2=205, y2=300
  Объект 17: x1=456, y1=578, x2=492, y2=597
  Объект 18: x1=907, y1=523, x2=953, y2=545
  Объект 19: x1=908, y1=604, x2=953, y2=622
  Объект 20: x1=2041, y1=533, x2=2086, y2=552
  Объект 21: x1=587, y1=533, x2=631, y2=552
  Объект 22: x1=1004, y1=603, x2=1052, y2=623
  Объект 23: x1=455, y1=556, x2=502, y2=598
  Объект 24: x1=1961, y1=402, x2=2014, y2=450
  Объект 25: x1=955, y1=604, x2=1002, y2=622
  Объект 26: x1=959, y1=525, x2=1001, y2=544
  Объект 27: x1=1961, y1=542, x2=2011, y2=578
  Объект 28: x1=208, y1=359, x2=243, y2=379
  Объект 29: x1=2138, y1=533, x2=2184, y2=552
  Объект 30: x1=1381, y1=485, x2=1429, y2=505
  Объект 31: x1=454, y1=551, x2=504, y2=581
  Объект 32: x1=1004, y1=524, x2=1050, y2=545
  Объект 33: x1=1757, y1=485, x2=1809, y2=505
  Объект 34: x1=537, y1=533, x2=582, y2=552
  Объект 35: x1=2042, y1=610, x2=2087, y2=630
  Объект 36: x1=827, y1=543, x2=876, y2=584
  Объект 37: x1=455, y1=495, x2=519, y2=545
  Объект 38: x1=635, y1=533, x2=678, y2=552
  Объект 39: x1=208, y1=281, x2=243, y2=300
  Объект 40: x1=826, y1=543, x2=877, y2=567
  Объект 41: x1=634, y1=615, x2=679, y2=635
  Объект 42: x1=826, y1=432, x2=891, y2=481
  Объект 43: x1=540, y1=615, x2=584, y2=634
  Объект 44: x1=1713, y1=473, x2=1752, y2=504
  Объект 45: x1=2138, y1=610, x2=2186, y2=631
  Объект 46: x1=248, y1=281, x2=279, y2=299
  Объект 47: x1=827, y1=516, x2=869, y2=536
  Объект 48: x1=1286, y1=485, x2=1330, y2=504
  Объект 49: x1=2090, y1=610, x2=2136, y2=631
  Объект 50: x1=1334, y1=479, x2=1375, y2=504
  Объект 51: x1=1663, y1=485, x2=1709, y2=504
  Объект 52: x1=585, y1=616, x2=631, y2=634
  Объект 53: x1=898, y1=526, x2=939, y2=548
  Объект 54: x1=1000, y1=527, x2=1032, y2=546
  Объект 55: x1=1712, y1=298, x2=1745, y2=320
  Объект 56: x1=2072, y1=450, x2=2211, y2=510
  Объект 57: x1=1337, y1=300, x2=1366, y2=319
  Объект 58: x1=826, y1=488, x2=891, y2=512
  Объект 59: x1=954, y1=527, x2=986, y2=546
  Объект 60: x1=1961, y1=344, x2=2021, y2=395

automatics: 6 объектов
  Объект 1: x1=1298, y1=362, x2=1341, y2=445
  Объект 2: x1=2051, y1=369, x2=2130, y2=455
  Объект 3: x1=1676, y1=362, x2=1721, y2=446
  Объект 4: x1=548, y1=367, x2=625, y2=455
  Объект 5: x1=918, y1=361, x2=996, y2=447
  Объект 6: x1=170, y1=566, x2=249, y2=652

